XENON1T Cabling Map,,,,,,,,,,,
Date: 2015-05-08,,,,,,,,,,,
,,,,,,,,,,,
PMT Location,PMT Serial Number,Top/Bottom,ADC,ADC ID,Signal Connector,Signal FT,Amp,HV,HV Connector,HV Return,HV FT
172,801,bottom,22.5,162,8.16,2,14.07,8.16,8.16,8,2
173,166,bottom,23.6,165,8.17,2,14.14,8.17,8.17,8,2
174,109,bottom,24.5,167,8.18,2,15.07,8.18,8.18,8,2
175,748,bottom,22.6,165,8.19,2,14.15,8.19,8.19,8,2
176,106,bottom,18.7,144,6.23,2,10,6.23,6.23,6,1
177,117,bottom,20.2,143,7.05,2,9.08,7.05,7.05,7,1
178,769,bottom,21.1,147,7.06,2,10.08,7.06,7.06,7,1
179,167,bottom,19.2,144,7.07,2,10.01,7.07,7.07,7,1
180,844,bottom,20.3,147,7.08,2,10.09,7.08,7.08,7,1
181,773,bottom,21.2,143,7.09,2,9.09,7.09,7.09,7,1
182,914,bottom,22.7,156,8.2,2,12.08,8.2,8.2,8,2
183,591,bottom,23.7,160,8.21,2,13,8.21,8.21,8,2
184,158,bottom,28,161,10,3,13.08,10,10,10,2
185,803,bottom,29,156,10.01,3,12.09,10.01,10.01,10,2
186,802,bottom,30,161,10.02,3,13.09,10.02,10.02,10,2
187,799,bottom,24.6,160,8.22,2,13.01,8.22,8.22,8,2
188,178,bottom,21.3,147,7.1,2,10.1,7.1,7.1,7,1
189,129,bottom,19.3,144,7.11,2,10.02,7.11,7.11,7,1
190,103,bottom,20.4,147,7.12,2,10.11,7.12,7.12,7,1
191,172,bottom,21.4,143,7.13,2,9.1,7.13,7.13,7,1
192,846,bottom,19.4,144,7.14,2,10.03,7.14,7.14,7,1
193,899,bottom,24.7,160,8.23,2,13.02,8.23,8.23,8,2
194,849,bottom,28.1,161,10.03,3,13.1,10.03,10.03,10,2
195,179,bottom,29.1,156,10.04,3,12.1,10.04,10.04,10,2
196,111,bottom,30.1,161,10.05,3,13.11,10.05,10.05,10,2
197,130,bottom,28.2,160,10.06,3,13.03,10.06,10.06,10,2
198,746,bottom,29.2,156,10.07,3,12.11,10.07,10.07,10,2
199,805,bottom,25,150,9,3,11,9,9,9,2
200,110,bottom,26,143,9.01,3,9.11,9.01,9.01,9,2
201,116,bottom,21.5,143,7.15,2,9.12,7.15,7.15,7,1
202,248,bottom,19.5,144,7.16,2,10.04,7.16,7.16,7,1
203,588,bottom,20.5,147,7.17,2,10.12,7.17,7.17,7,1
204,792,bottom,21.6,143,7.18,2,9.13,7.18,7.18,7,1
205,879,bottom,29.3,156,10.08,3,12.12,10.08,10.08,10,2
206,707,bottom,30.2,161,10.09,3,13.12,10.09,10.09,10,2
207,847,bottom,28.3,160,10.1,3,13.04,10.1,10.1,10,2
208,107,bottom,29.4,156,10.11,3,12.13,10.11,10.11,10,2
209,112,bottom,30.3,161,10.12,3,13.13,10.12,10.12,10,2
210,840,bottom,26.1,153,9.02,3,11.08,9.02,9.02,9,2
211,807,bottom,27,154,9.03,3,12,9.03,9.03,9,2
212,774,bottom,25.1,147,9.04,3,10.13,9.04,9.04,9,2
213,169,bottom,20.6,147,7.19,2,10.14,7.19,7.19,7,1
214,750,bottom,21.7,143,7.2,2,9.14,7.2,7.2,7,1
215,797,bottom,19.6,144,7.21,2,10.05,7.21,7.21,7,1
216,871,bottom,28.4,160,10.13,3,13.05,10.13,10.13,10,2
217,456,bottom,29.5,156,10.14,3,12.14,10.14,10.14,10,2
218,776,bottom,30.4,161,10.15,3,13.14,10.15,10.15,10,2
219,864,bottom,28.5,160,10.16,3,13.06,10.16,10.16,10,2
220,136,bottom,27.1,156,9.05,3,12.15,9.05,9.05,9,2
221,788,bottom,25.2,150,9.06,3,11.01,9.06,9.06,9,2
222,115,bottom,26.2,150,9.07,3,11.02,9.07,9.07,9,2
223,800,bottom,27.2,144,9.08,3,10.06,9.08,9.08,9,2
224,842,bottom,19.7,143,7.22,2,9.15,7.22,7.22,7,1
225,798,bottom,20.7,147,7.23,2,10.15,7.23,7.23,7,1
226,868,bottom,30.5,161,10.17,3,13.15,10.17,10.17,10,2
227,126,bottom,28.6,160,10.18,3,13.07,10.18,10.18,10,2
228,174,bottom,29.6,153,10.19,3,11.09,10.19,10.19,10,2
229,592,bottom,25.3,154,9.09,3,12.01,9.09,9.09,9,2
230,177,bottom,26.3,150,9.1,3,11.03,9.1,9.1,9,2
231,105,bottom,27.3,153,9.11,3,11.1,9.11,9.11,9,2
232,246,bottom,25.4,154,9.12,3,12.02,9.12,9.12,9,2
233,168,bottom,26.4,153,9.13,3,11.11,9.13,9.13,9,2
234,810,bottom,27.4,144,9.14,3,10.07,9.14,9.14,9,2
235,853,bottom,29.7,153,10.2,3,11.12,10.2,10.2,10,2
236,927,bottom,30.6,154,10.21,3,12.03,10.21,10.21,10,2
237,224,bottom,28.7,150,10.22,3,11.04,10.22,10.22,10,2
238,589,bottom,27.5,153,9.15,3,11.13,9.15,9.15,9,2
239,560,bottom,25.5,154,9.16,3,12.04,9.16,9.16,9,2
240,217,bottom,26.5,150,9.17,3,11.05,9.17,9.17,9,2
241,212,bottom,27.6,150,9.18,3,11.06,9.18,9.18,9,2
242,822,bottom,26.6,154,9.19,3,12.05,9.19,9.19,9,2
243,852,bottom,30.7,153,10.23,3,11.14,10.23,10.23,10,2
244,845,bottom,25.6,154,9.2,3,12.06,9.2,9.2,9,2
245,841,bottom,26.7,150,9.21,3,11.07,9.21,9.21,9,2
246,834,bottom,27.7,153,9.22,3,11.15,9.22,9.22,9,2
247,823,bottom,25.7,154,9.23,3,12.07,9.23,9.23,9,2
v0,,veto,31,171,5.15,1,15.08,11,5.15,5,1
v1,,veto,31.1,171,5.16,1,15.09,11.01,5.16,5,1
v2,,veto,31.2,171,5.17,1,15.1,11.02,5.17,5,1
v3,,veto,31.3,171,5.18,1,15.11,11.03,5.18,5,1
v4,,veto,31.4,171,5.19,1,15.12,11.04,5.19,5,1
v5,,veto,31.5,171,5.2,1,15.13,11.05,5.2,5,1
